DIVISION,ST,AGEP,CIT,MAR,SCHL,WAGP,NATIVITY
0,72,17,2,5,9.0,0,1
5,12,18,1,3,16.0,2,1
9,53,21,1,1,22.0,2,1
7,48,18,4,1,18.0,0,2
8,32,12,1,5,18.0,0,1
2,42,10,1,5,16.0,1,1
5,45,29,1,1,21.0,4,1
5,24,9,1,5,18.0,0,1
3,39,35,1,5,21.0,1,1
3,17,6,1,5,3.0,0,1
2,42,44,1,3,18.0,0,1
5,10,34,1,3,19.0,0,1
7,48,36,4,1,10.0,0,2
9,6,21,1,5,21.0,0,1
3,26,9,1,5,16.0,0,1
7,48,32,1,1,22.0,3,1
7,48,29,1,1,18.0,2,1
9,6,19,1,1,16.0,9,1
5,51,18,1,3,13.0,0,1
5,13,19,1,3,21.0,2,1
5,37,31,1,1,21.0,0,1
3,55,11,1,5,16.0,0,1
9,6,6,1,5,11.0,0,1
2,36,1,1,5,0.0,0,1
6,1,32,1,1,16.0,0,1
4,20,29,3,1,21.0,11,1
5,12,18,1,1,16.0,2,1
5,37,3,1,5,4.0,0,1
0,72,23,2,3,20.0,1,1
2,36,39,4,1,1.0,0,2
7,48,17,1,1,19.0,4,1
2,42,10,1,5,19.0,0,1
5,37,40,1,1,22.0,0,1
9,53,14,1,1,19.0,0,1
5,12,27,1,3,1.0,3,1
5,51,35,1,3,21.0,3,1
2,34,29,4,1,21.0,0,2
8,4,45,1,2,16.0,0,1
4,29,16,1,5,19.0,0,1
9,6,40,5,1,19.0,0,2
8,8,22,5,1,11.0,2,2
5,24,3,1,5,4.0,0,1
2,36,22,1,5,16.0,0,1
4,29,36,1,1,16.0,0,1
0,72,38,2,1,20.0,0,1
9,6,13,1,5,21.0,0,1
7,48,30,1,1,21.0,0,1
9,6,20,4,3,21.0,11,2
0,72,0,2,5,0.0,0,1
5,13,11,1,5,21.0,1,1
9,53,4,1,5,7.0,0,1
9,6,26,1,5,13.0,3,1
5,12,7,1,5,12.0,0,1
7,48,15,1,1,18.0,0,1
0,72,5,2,5,7.0,0,1
9,6,31,4,1,18.0,3,2
5,45,24,1,1,22.0,4,1
6,28,12,1,5,16.0,0,1
7,48,21,1,1,21.0,13,1
